cluster,altitud_estimada,temperature_2m,dew_point_2m,relative_humidity_2m,size,tier
0,3905.2959237691903,3.993276866066702,-3.7338274219163576,58.820010587612494,1889,alto
1,2170.0,13.641017964071857,10.051197604790419,80.09580838323353,334,bajo
2,3893.253146853147,11.617575757575757,-7.3195804195804195,27.526806526806528,2145,medio
